method,coverage_bin,num_samples,psnr,ssim,l1,l1_cloud_region,ndvi_mae
gan,0.05,600,43.44229444494547,0.9877128026436175,0.0011106234571586053,0.022190798410835367,0.09948811600605646
gan,0.1,600,40.32437635317814,0.9755680237344884,0.002218791495154922,0.022179792520279684,0.09938971498360237
gan,0.3,600,35.247691011573856,0.9250556980626713,0.006847345472779125,0.022825401405182976,0.10392448915168644
gan,0.5,600,32.527985067918316,0.8581172605799395,0.012077674431881557,0.024155348863763113,0.1108079104560117
gan,0.7,600,30.4915541402288,0.7680026533851493,0.018220995428661506,0.026029539516506096,0.12335745374361674
