method,coverage_bin,num_samples,psnr,ssim,l1,l1_cloud_region,ndvi_mae
diffusion,0.05,600,40.830736189370654,0.9747761989897454,0.0015525290832738392,0.03102028843946755,0.15130053074409563
diffusion,0.1,600,37.48706435779632,0.9485319527627809,0.003199258250921654,0.031980870747938754,0.15544648290922244
diffusion,0.3,600,31.857879757807915,0.8384383692369647,0.010422479320162286,0.03474299608419339,0.17012838736176492
diffusion,0.5,600,28.918216599278555,0.7149650628243012,0.018758722903827827,0.037517445807655654,0.18444676391780376
diffusion,0.7,600,26.81778168503468,0.5810366703637944,0.028204092060526213,0.040290857494498296,0.20029511903723082
