method,coverage_bin,num_samples,psnr,ssim,l1,l1_cloud_region,ndvi_mae
diffusion,0.05,600,19.593299097185902,0.17468853956177027,0.01988357790901015,0.3972835866361856,0.5225120869278908
diffusion,0.1,600,15.574936598282815,0.07881608903596128,0.04596209798008204,0.45945272346337634,0.5492493799328804
diffusion,0.3,600,9.416639467239701,0.015577110102676924,0.169842924674352,0.5661659217874209,0.5788883324339986
diffusion,0.5,600,6.559410235428467,0.007141137006800692,0.3118171007434527,0.6236342014869054,0.5838518910606703
diffusion,0.7,600,4.641277431009171,0.003881871322846961,0.46773745904366176,0.6681847181916237,0.5839690767104427
