id,method,coverage,coverage_bin,psnr,ssim,l1,ndvi_mae,l1_cloud_region
s2_beijing_patch_2023_00085_c50,gan,0.5,0.5,32.247270211378414,0.8866729707308986,0.012400636449456215,0.12086359411478043,0.02480127289891243
s2_beijing_patch_2023_02274_c50,gan,0.5,0.5,32.32662138553354,0.9012262302589923,0.010570733807981014,0.09447751194238663,0.02114146761596203
s2_beijing_patch_2023_00707_c05,gan,0.050048828125,0.05,44.51674768524114,0.9873156547566717,0.000903962878510356,0.10809913277626038,0.018061619251966476
s2_beijing_patch_2023_01393_c10,gan,0.10003662109375,0.1,41.324054857249834,0.9725446764089968,0.0019880388863384724,0.09186146408319473,0.019873110577464104
s2_beijing_patch_2023_01117_c10,gan,0.10003662109375,0.1,42.196104506287426,0.9818234919893124,0.0016522875521332026,0.09791989624500275,0.016516827046871185
s2_beijing_patch_2023_00930_c50,gan,0.5,0.5,35.25490495093147,0.9192491313155635,0.007846880704164505,0.07305563986301422,0.01569376140832901
s2_beijing_patch_2023_01616_c10,gan,0.10003662109375,0.1,41.38492882452674,0.9762249763699219,0.0017662635073065758,0.07789099216461182,0.017656169831752777
s2_beijing_patch_2023_02567_c30,gan,0.29998779296875,0.3,34.189136026956845,0.8478115024767817,0.008142661303281784,0.09263461083173752,0.027143308892846107
s2_beijing_patch_2023_02042_c50,gan,0.5,0.5,31.666580444116022,0.8565928970788201,0.01341463066637516,0.1341594159603119,0.02682926133275032
s2_beijing_patch_2023_02827_c10,gan,0.10003662109375,0.1,43.74351196755238,0.9808920143615784,0.0015360797988250852,0.1010613813996315,0.01535517442971468
s2_beijing_patch_2023_01901_c30,gan,0.29998779296875,0.3,37.07468312198771,0.9242309244218497,0.0054653240367770195,0.09942218661308289,0.01821848750114441
s2_beijing_patch_2023_00961_c10,gan,0.10003662109375,0.1,41.32899459616325,0.9726369168273514,0.0018864372977986932,0.07435531169176102,0.01885746791958809
s2_beijing_patch_2023_00584_c05,gan,0.050048828125,0.05,47.57962118068705,0.9959022401282626,0.0006296447245404124,0.04949358478188515,0.012580608949065208
s2_beijing_patch_2023_00399_c30,gan,0.29998779296875,0.3,36.409494957984535,0.9631539173983376,0.004979696124792099,0.056520406156778336,0.016599662601947784
s2_beijing_patch_2023_01941_c50,gan,0.5,0.5,35.71382380266387,0.877129789825822,0.00840412825345993,0.0847521424293518,0.01680825650691986
s2_beijing_patch_2023_01602_c70,gan,0.70001220703125,0.7,29.844623617115396,0.731445073539516,0.01904124766588211,0.139609232544899,0.02720130793750286
s2_beijing_patch_2023_01569_c70,gan,0.70001220703125,0.7,29.500961303556185,0.7710876890060909,0.020761972293257713,0.14269326627254486,0.029659442603588104
s2_beijing_patch_2023_01734_c50,gan,0.5,0.5,32.60614743162855,0.8707013484979478,0.012059728614985943,0.11558661609888077,0.024119457229971886
s2_beijing_patch_2023_02544_c70,gan,0.70001220703125,0.7,26.66791696037809,0.5310762428000255,0.028469575569033623,0.16157257556915283,0.040670111775398254
s2_beijing_patch_2023_02717_c05,gan,0.050048828125,0.05,46.52585912953111,0.9935253735584991,0.0007047089166007936,0.05795162171125412,0.014080427587032318
s2_beijing_patch_2023_00456_c05,gan,0.050048828125,0.05,43.74689783182945,0.996606429711857,0.0011119688861072063,0.08433181047439575,0.022217681631445885
s2_beijing_patch_2023_02778_c70,gan,0.70001220703125,0.7,32.00102924547772,0.835604938867827,0.014319635927677155,0.09761463105678558,0.020456265658140182
s2_beijing_patch_2023_02635_c05,gan,0.050048828125,0.05,42.75981502712531,0.9709275175473113,0.0012652205768972635,0.07405154407024384,0.025279724970459938
s2_beijing_patch_2023_01810_c50,gan,0.5,0.5,35.74370485095804,0.8745786002058665,0.008060016669332981,0.08778108656406403,0.016120033338665962
s2_beijing_patch_2023_01786_c50,gan,0.5,0.5,35.253184833880965,0.9168679441228506,0.008139735087752342,0.07756814360618591,0.016279470175504684
s2_beijing_patch_2023_02452_c10,gan,0.10003662109375,0.1,40.608990355607304,0.9801806200897613,0.0020046879071742296,0.09606970846652985,0.02003953978419304
s2_beijing_patch_2023_02239_c10,gan,0.10003662109375,0.1,37.53325033847897,0.9564306291786481,0.0030337192583829165,0.13441510498523712,0.030326087027788162
s2_beijing_patch_2023_02869_c30,gan,0.29998779296875,0.3,37.806209447339484,0.9393233527485743,0.005159950815141201,0.08911534398794174,0.017200535163283348
s2_beijing_patch_2023_00482_c50,gan,0.5,0.5,34.37426539933642,0.9400379419189236,0.00816400907933712,0.06542501598596573,0.01632801815867424
s2_beijing_patch_2023_00037_c05,gan,0.050048828125,0.05,39.873302891031926,0.9917745251142384,0.0015595233999192715,0.11886002868413925,0.031160037964582443
s2_beijing_patch_2023_01233_c05,gan,0.050048828125,0.05,43.22230182245762,0.9858672624576509,0.0011047966545447707,0.08616714179515839,0.022074375301599503
s2_beijing_patch_2023_01545_c50,gan,0.5,0.5,34.063417856421346,0.9134580226180553,0.009065859019756317,0.10060376673936844,0.018131718039512634
s2_beijing_patch_2023_02544_c50,gan,0.5,0.5,30.28933283721045,0.8238324279924125,0.015941355377435684,0.1058211624622345,0.03188271075487137
s2_beijing_patch_2023_02460_c05,gan,0.050048828125,0.05,46.18684607733207,0.9941890106966179,0.0007145034032873809,0.05366804078221321,0.014276126399636269
s2_beijing_patch_2023_02545_c50,gan,0.5,0.5,23.465611515670414,0.7730688370745313,0.033317435532808304,0.16919907927513123,0.06663487106561661
s2_beijing_patch_2023_00886_c30,gan,0.29998779296875,0.3,37.20488635294992,0.9427315299495955,0.005293914116919041,0.07766114175319672,0.017647098749876022
s2_beijing_patch_2023_00364_c50,gan,0.5,0.5,31.165869980935582,0.8619880561186771,0.013731474056839943,0.12684202194213867,0.027462948113679886
s2_beijing_patch_2023_00345_c30,gan,0.29998779296875,0.3,38.030395064503736,0.945017388699573,0.005108975805342197,0.08839846402406693,0.017030611634254456
s2_beijing_patch_2023_00375_c10,gan,0.10003662109375,0.1,35.265160109650736,0.9543994420135028,0.003064936026930809,0.11903952807188034,0.030638139694929123
s2_beijing_patch_2023_01082_c05,gan,0.050048828125,0.05,46.70834796105328,0.9947107501039659,0.0006703211693093181,0.05419812723994255,0.013393344357609749
s2_beijing_patch_2023_02548_c70,gan,0.70001220703125,0.7,28.005034502533327,0.7575799470813155,0.024014640599489212,0.14135529100894928,0.034306030720472336
s2_beijing_patch_2023_00805_c70,gan,0.70001220703125,0.7,30.152940071954895,0.7897564375910034,0.017412595450878143,0.11818157881498337,0.024874702095985413
s2_beijing_patch_2023_01420_c50,gan,0.5,0.5,33.14105703289041,0.8978312820372997,0.009724603965878487,0.07842196524143219,0.019449207931756973
s2_beijing_patch_2023_00978_c50,gan,0.5,0.5,28.419822436563493,0.8088798255215024,0.019446060061454773,0.1573977768421173,0.038892120122909546
s2_beijing_patch_2023_01524_c30,gan,0.29998779296875,0.3,36.96731972559959,0.9498965530442618,0.005235858261585236,0.06915370374917984,0.017453571781516075
s2_beijing_patch_2023_02535_c30,gan,0.29998779296875,0.3,34.87775540625626,0.948273398851538,0.005890952423214912,0.054409369826316833,0.01963730715215206
s2_beijing_patch_2023_01530_c70,gan,0.70001220703125,0.7,26.94222242956661,0.6357752147124085,0.02623799629509449,0.16266238689422607,0.03748219832777977
s2_beijing_patch_2023_01878_c70,gan,0.70001220703125,0.7,28.48098961376328,0.7300950967144906,0.023392334580421448,0.1597842127084732,0.03341703861951828
s2_beijing_patch_2023_02087_c70,gan,0.70001220703125,0.7,29.39206495011474,0.6614043441625242,0.02175189182162285,0.13585856556892395,0.031073588877916336
s2_beijing_patch_2023_02635_c50,gan,0.5,0.5,31.953951417268588,0.7267792108757257,0.014239337295293808,0.09168870747089386,0.028478674590587616
s2_beijing_patch_2023_02677_c70,gan,0.70001220703125,0.7,32.40246116764556,0.7888749757311825,0.01417706161737442,0.10465437173843384,0.020252592861652374
s2_beijing_patch_2023_01041_c50,gan,0.5,0.5,29.98246967129388,0.8387488295966715,0.015524940565228462,0.14481043815612793,0.031049881130456924
s2_beijing_patch_2023_02958_c30,gan,0.29998779296875,0.3,37.215747071826634,0.9258778603666583,0.005858535412698984,0.09935113787651062,0.019529245793819427
s2_beijing_patch_2023_00059_c30,gan,0.29998779296875,0.3,38.09362648295883,0.937461285380531,0.004969793371856213,0.09764786809682846,0.016566652804613113
s2_beijing_patch_2023_02452_c05,gan,0.050048828125,0.05,44.822548338475826,0.9919778526427652,0.0008899215026758611,0.08457563817501068,0.01778106577694416
s2_beijing_patch_2023_01042_c10,gan,0.10003662109375,0.1,39.57249956123654,0.9886718001723555,0.0019166197162121534,0.25539156794548035,0.01915918104350567
s2_beijing_patch_2023_01146_c50,gan,0.5,0.5,35.51384932600952,0.887264687066752,0.008696608245372772,0.08394518494606018,0.017393216490745544
s2_beijing_patch_2023_00527_c70,gan,0.70001220703125,0.7,30.023568798192464,0.8178587793183391,0.018340960144996643,0.11592037230730057,0.0262009147554636
s2_beijing_patch_2023_02464_c10,gan,0.10003662109375,0.1,39.91535206612281,0.9783943009524334,0.002215983346104622,0.10191937536001205,0.022151721641421318
s2_beijing_patch_2023_02085_c05,gan,0.050048828125,0.05,46.671448525645104,0.9927503487835493,0.0007174188503995538,0.06551659852266312,0.014334378764033318
s2_beijing_patch_2023_02209_c10,gan,0.10003662109375,0.1,36.13314479935495,0.9664186274416808,0.00379095203243196,0.11595913767814636,0.03789564222097397
s2_beijing_patch_2023_00564_c70,gan,0.70001220703125,0.7,26.118544511560756,0.6312800140590871,0.03133206069469452,0.21166126430034637,0.04475930705666542
s2_beijing_patch_2023_00118_c50,gan,0.5,0.5,31.188540985656132,0.825161161701976,0.012990940362215042,0.11206522583961487,0.025981880724430084
s2_beijing_patch_2023_02884_c05,gan,0.050048828125,0.05,46.282865720576815,0.9942600242792504,0.0006878261337988079,0.06197361648082733,0.013743101619184017
s2_beijing_patch_2023_01420_c70,gan,0.70001220703125,0.7,30.344331016267148,0.8231594038699059,0.01636262610554695,0.1039477065205574,0.02337477169930935
s2_beijing_patch_2023_02165_c70,gan,0.70001220703125,0.7,33.9105266639211,0.8681799849827051,0.011895282194018364,0.07617300003767014,0.0169929638504982
s2_beijing_patch_2023_01550_c30,gan,0.29998779296875,0.3,35.545844810445,0.9306396874699309,0.00616335729137063,0.10364744067192078,0.020545359700918198
s2_beijing_patch_2023_00401_c10,gan,0.10003662109375,0.1,42.378465716068874,0.9871527181184915,0.0014843173557892442,0.04653046652674675,0.014837739989161491
s2_beijing_patch_2023_02102_c10,gan,0.10003662109375,0.1,35.83690220704755,0.9740510437622899,0.003099175402894616,0.1397617906332016,0.030980408191680908
s2_beijing_patch_2023_00861_c30,gan,0.29998779296875,0.3,33.36703193097976,0.8935648278569506,0.00884490367025137,0.12723983824253082,0.029484212398529053
s2_beijing_patch_2023_00528_c70,gan,0.70001220703125,0.7,33.30902103303549,0.8723051571128145,0.01233467273414135,0.07811464369297028,0.01762065291404724
s2_beijing_patch_2023_00565_c50,gan,0.5,0.5,33.4691764523081,0.8939074934511214,0.010656876489520073,0.09510104358196259,0.021313752979040146
s2_beijing_patch_2023_02934_c30,gan,0.29998779296875,0.3,38.01905874396723,0.9544485804407765,0.0045231180265545845,0.06456521153450012,0.015077673830091953
s2_beijing_patch_2023_00838_c50,gan,0.5,0.5,31.60936884616349,0.8079755522112766,0.013737993314862251,0.11151966452598572,0.027475986629724503
s2_beijing_patch_2023_00706_c70,gan,0.70001220703125,0.7,26.665771502017726,0.5978696874165773,0.02674708515405655,0.18803803622722626,0.0382094569504261
s2_beijing_patch_2023_02744_c10,gan,0.10003662109375,0.1,41.1074681576648,0.9847072805454685,0.0019185650162398815,0.08068188279867172,0.01917862705886364
s2_beijing_patch_2023_02632_c10,gan,0.10003662109375,0.1,37.728045963136935,0.9556023756212948,0.002859250409528613,0.11037610471248627,0.02858203649520874
s2_beijing_patch_2023_02958_c50,gan,0.5,0.5,33.92785603395637,0.8421600437042271,0.010692864656448364,0.10302985459566116,0.02138572931289673
s2_beijing_patch_2023_01530_c05,gan,0.050048828125,0.05,44.152967663890976,0.9965236001503189,0.0009466244373470545,0.08057297766208649,0.01891401782631874
s2_beijing_patch_2023_01158_c10,gan,0.10003662109375,0.1,42.52800788900787,0.990140783907663,0.0016044582007452846,0.062157534062862396,0.01603870838880539
s2_beijing_patch_2023_00966_c10,gan,0.10003662109375,0.1,40.09820515555694,0.9770305753686529,0.002293375786393881,0.10973929613828659,0.02292536199092865
s2_beijing_patch_2023_01448_c30,gan,0.29998779296875,0.3,32.41462168879408,0.946037275586498,0.00728103332221508,0.0776442438364029,0.024271098896861076
s2_beijing_patch_2023_00124_c70,gan,0.70001220703125,0.7,32.02924736165646,0.7896821486136556,0.014322008937597275,0.0986727923154831,0.020459655672311783
s2_beijing_patch_2023_00295_c50,gan,0.5,0.5,32.87023334185337,0.8801437210079582,0.010799111798405647,0.10635915398597717,0.021598223596811295
s2_beijing_patch_2023_02645_c05,gan,0.050048828125,0.05,41.055824593765344,0.9907553500370744,0.0014469181187450886,0.11975614726543427,0.028910130262374878
s2_beijing_patch_2023_02297_c10,gan,0.10003662109375,0.1,42.482357500470265,0.9786123494158,0.0014894718769937754,0.06970124691724777,0.014889266341924667
s2_beijing_patch_2023_01626_c30,gan,0.29998779296875,0.3,33.99274506371959,0.9115082262998849,0.008127128705382347,0.08404874056577682,0.027091531082987785
s2_beijing_patch_2023_01081_c05,gan,0.050048828125,0.05,46.732817370280245,0.9919974486957631,0.0007392175029963255,0.09671859443187714,0.01476992666721344
s2_beijing_patch_2023_02853_c05,gan,0.050048828125,0.05,42.24155049717588,0.988448339808207,0.0012870023492723703,0.12171755731105804,0.0257149338722229
s2_beijing_patch_2023_01322_c70,gan,0.70001220703125,0.7,30.11545172574539,0.7028834295238605,0.01995985209941864,0.10679398477077484,0.028513576835393906
s2_beijing_patch_2023_00984_c10,gan,0.10003662109375,0.1,41.24718926266879,0.9790636832061481,0.0020238561555743217,0.09168318659067154,0.020231151953339577
s2_beijing_patch_2023_02664_c70,gan,0.70001220703125,0.7,29.58414915661997,0.6113952910939978,0.0193466916680336,0.130947545170784,0.027637649327516556
s2_beijing_patch_2023_00005_c30,gan,0.29998779296875,0.3,31.237828864019292,0.8788733206511159,0.011411875486373901,0.16951729357242584,0.0380411334335804
s2_beijing_patch_2023_00270_c10,gan,0.10003662109375,0.1,41.06316256217549,0.9856876460683686,0.0017218082211911678,0.06424093246459961,0.017211779952049255
s2_beijing_patch_2023_00690_c70,gan,0.70001220703125,0.7,32.444910687933756,0.8513709143796891,0.014177320525050163,0.10012994706630707,0.020252961665391922
s2_beijing_patch_2023_00752_c30,gan,0.29998779296875,0.3,34.91547717879901,0.9494649438516211,0.006388039328157902,0.08527983725070953,0.021294331178069115
s2_beijing_patch_2023_02314_c50,gan,0.5,0.5,35.76015391870565,0.9405069426455431,0.007224776782095432,0.05730408430099487,0.014449553564190865
s2_beijing_patch_2023_00423_c05,gan,0.050048828125,0.05,40.454621680994116,0.9957697057088256,0.001600382151082158,0.137632817029953,0.03197641670703888
s2_beijing_patch_2023_01753_c70,gan,0.70001220703125,0.7,31.323251683724237,0.7631718423287289,0.01688414253294468,0.1331561952829361,0.024119783192873
s2_beijing_patch_2023_01950_c50,gan,0.5,0.5,32.72685659712725,0.8849458161432605,0.011104153469204903,0.15343734622001648,0.022208306938409805
