method,coverage_bin,num_samples,psnr,ssim,l1,l1_cloud_region,ndvi_mae
diffusion,0.05,600,21.1431877257286,0.2474618086471698,0.013571788949581484,0.2711709638684988,0.7715713752309481
diffusion,0.1,600,18.15200134612099,0.1448761495662655,0.02709321191844841,0.2708329370866219,0.7722173862655958
diffusion,0.3,600,13.369594160656558,0.045694363901470754,0.08130564161886772,0.27102974206209185,0.7746432537833849
diffusion,0.5,600,11.148499324935019,0.021935026696365132,0.13563190187017124,0.2712638037403425,0.7764678459366162
diffusion,0.7,600,9.683914313389295,0.011136750323177427,0.18996152736246585,0.27136887788772585,0.778734061618646
