id,method,coverage,coverage_bin,psnr,ssim,l1,ndvi_mae,l1_cloud_region
s2_beijing_patch_2023_00085_c50,diffusion,0.5,0.5,11.234595284800548,0.021649960446963507,0.13641902804374695,0.7762952446937561,0.2728380560874939
s2_beijing_patch_2023_02274_c50,diffusion,0.5,0.5,11.031287446102773,0.007087131825950273,0.13342493772506714,0.8301799297332764,0.2668498754501343
s2_beijing_patch_2023_00707_c05,diffusion,0.050048828125,0.05,21.054925741747404,0.21047403410075097,0.013420429080724716,0.794381320476532,0.26814672350883484
s2_beijing_patch_2023_01393_c10,diffusion,0.10003662109375,0.1,18.080144988674746,0.11331300905409404,0.026681974530220032,0.7636339664459229,0.26672208309173584
s2_beijing_patch_2023_01117_c10,diffusion,0.10003662109375,0.1,18.170840262635085,0.07468923612493687,0.026172470301389694,0.7868849039077759,0.2616288959980011
s2_beijing_patch_2023_00930_c50,diffusion,0.5,0.5,10.928968020624833,0.0063716694503714345,0.13533785939216614,0.8685948252677917,0.2706757187843323
s2_beijing_patch_2023_01616_c10,diffusion,0.10003662109375,0.1,18.036019433123464,0.07256887766637792,0.027011070400476456,0.8359894156455994,0.2700118124485016
s2_beijing_patch_2023_02567_c30,diffusion,0.29998779296875,0.3,13.693306467559896,0.04303134314375633,0.08266756683588028,0.694064199924469,0.27556976675987244
s2_beijing_patch_2023_02042_c50,diffusion,0.5,0.5,11.22178830560898,0.029233192258540024,0.1362239122390747,0.7546742558479309,0.2724478244781494
s2_beijing_patch_2023_02827_c10,diffusion,0.10003662109375,0.1,18.02162576044677,0.08144182038073677,0.026944030076265335,0.7921940088272095,0.26934167742729187
s2_beijing_patch_2023_01901_c30,diffusion,0.29998779296875,0.3,13.394551375957654,0.03344953581235402,0.0795082300901413,0.7724605202674866,0.26503822207450867
s2_beijing_patch_2023_00961_c10,diffusion,0.10003662109375,0.1,18.137796745987014,0.09757176123976419,0.02762417681515217,0.7947810292243958,0.27614063024520874
s2_beijing_patch_2023_00584_c05,diffusion,0.050048828125,0.05,20.98853100735169,0.11958020703572513,0.013480773195624352,0.8485510945320129,0.26935243606567383
s2_beijing_patch_2023_00399_c30,diffusion,0.29998779296875,0.3,13.040167665645708,0.014466519424847238,0.08289165794849396,0.8608393669128418,0.27631676197052
s2_beijing_patch_2023_01941_c50,diffusion,0.5,0.5,11.246778671547585,0.014808688657339988,0.1359291672706604,0.7660053968429565,0.2718583345413208
s2_beijing_patch_2023_01602_c70,diffusion,0.70001220703125,0.7,9.705917551996752,0.010683531048043966,0.1897878348827362,0.7670376300811768,0.27112075686454773
s2_beijing_patch_2023_01569_c70,diffusion,0.70001220703125,0.7,9.771761677793318,0.006263493891215479,0.1889936327934265,0.7689340114593506,0.26998618245124817
s2_beijing_patch_2023_01734_c50,diffusion,0.5,0.5,11.184715698298541,0.02454799745728896,0.13699619472026825,0.7440732717514038,0.2739923894405365
s2_beijing_patch_2023_02544_c70,diffusion,0.70001220703125,0.7,9.988541110310345,0.021590116394800945,0.19589334726333618,0.6940589547157288,0.2798427641391754
s2_beijing_patch_2023_02717_c05,diffusion,0.050048828125,0.05,20.944152824468564,0.1040121103489774,0.01336580142378807,0.8482699990272522,0.2670552432537079
s2_beijing_patch_2023_00456_c05,diffusion,0.050048828125,0.05,21.28448004376176,0.5614607495577024,0.014254437759518623,0.7374638319015503,0.2848106324672699
s2_beijing_patch_2023_02778_c70,diffusion,0.70001220703125,0.7,9.458579634506584,0.0037625870077806294,0.18798774480819702,0.8797445297241211,0.26854923367500305
s2_beijing_patch_2023_02635_c05,diffusion,0.050048828125,0.05,21.644125650658328,0.21367283695837122,0.013419656082987785,0.6613976359367371,0.268131285905838
s2_beijing_patch_2023_01810_c50,diffusion,0.5,0.5,11.036866616173299,0.011094701948943948,0.1350037157535553,0.8121192455291748,0.2700074315071106
s2_beijing_patch_2023_01786_c50,diffusion,0.5,0.5,10.987918783606341,0.007473093864188182,0.1338430643081665,0.8430057764053345,0.267686128616333
s2_beijing_patch_2023_02452_c10,diffusion,0.10003662109375,0.1,17.931147733473946,0.1025131824829882,0.027429448440670967,0.8236731290817261,0.27419406175613403
s2_beijing_patch_2023_02239_c10,diffusion,0.10003662109375,0.1,18.168708496091952,0.15776234860778107,0.027485568076372147,0.7408813834190369,0.27475506067276
s2_beijing_patch_2023_02869_c30,diffusion,0.29998779296875,0.3,13.211472960194692,0.020344025979909225,0.08264502882957458,0.814437210559845,0.27549463510513306
s2_beijing_patch_2023_00482_c50,diffusion,0.5,0.5,11.016743249372631,0.006295757254442051,0.13228526711463928,0.8587584495544434,0.26457053422927856
s2_beijing_patch_2023_00037_c05,diffusion,0.050048828125,0.05,21.24776207457589,0.6212536666498288,0.013561412692070007,0.7522059082984924,0.2709636390209198
s2_beijing_patch_2023_01233_c05,diffusion,0.050048828125,0.05,21.527295585498134,0.3296702258931023,0.0136325154453516,0.7186883091926575,0.27238431572914124
s2_beijing_patch_2023_01545_c50,diffusion,0.5,0.5,11.031639909448867,0.007785240933257825,0.1326225996017456,0.8413115739822388,0.2652451992034912
s2_beijing_patch_2023_02544_c50,diffusion,0.5,0.5,11.420073029614251,0.03883684634151896,0.13984611630439758,0.6945332288742065,0.27969223260879517
s2_beijing_patch_2023_02460_c05,diffusion,0.050048828125,0.05,20.802273694424827,0.1104191699468295,0.013835450634360313,0.8370480537414551,0.27643904089927673
s2_beijing_patch_2023_02545_c50,diffusion,0.5,0.5,11.383405758432879,0.14764597632835755,0.1456911563873291,0.6743725538253784,0.2913823127746582
s2_beijing_patch_2023_00886_c30,diffusion,0.29998779296875,0.3,13.385444306697627,0.035235321806834564,0.08037668466567993,0.7993131279945374,0.267933189868927
s2_beijing_patch_2023_00364_c50,diffusion,0.5,0.5,11.255445713758718,0.025952650956295942,0.13546644151210785,0.7862949371337891,0.2709328830242157
s2_beijing_patch_2023_00345_c30,diffusion,0.29998779296875,0.3,13.301825877721711,0.02804228028858412,0.08065309375524521,0.7464094758033752,0.2688545882701874
s2_beijing_patch_2023_00375_c10,diffusion,0.10003662109375,0.1,18.25549538244391,0.28900710200603097,0.02764870598912239,0.7548743486404419,0.2763858437538147
s2_beijing_patch_2023_01082_c05,diffusion,0.050048828125,0.05,21.01184345736816,0.0993070759872773,0.013260963372886181,0.8132686614990234,0.26496052742004395
s2_beijing_patch_2023_02548_c70,diffusion,0.70001220703125,0.7,9.801091399678597,0.019683107216085752,0.19354434311389923,0.7405564785003662,0.2764871120452881
s2_beijing_patch_2023_00805_c70,diffusion,0.70001220703125,0.7,9.637297664112758,0.012505951468793242,0.18937279284000397,0.7891486883163452,0.27052783966064453
s2_beijing_patch_2023_01420_c50,diffusion,0.5,0.5,11.0289227015049,0.010057300214492797,0.13288021087646484,0.8493965864181519,0.2657604217529297
s2_beijing_patch_2023_00978_c50,diffusion,0.5,0.5,11.373390724012488,0.06339574503032089,0.1389259397983551,0.7305788993835449,0.2778518795967102
s2_beijing_patch_2023_01524_c30,diffusion,0.29998779296875,0.3,13.212084407216388,0.0363396534748328,0.0835755467414856,0.8420653939247131,0.2785964906215668
s2_beijing_patch_2023_02535_c30,diffusion,0.29998779296875,0.3,13.037923756938683,0.014426932184952354,0.08048355579376221,0.8804928064346313,0.2682894468307495
s2_beijing_patch_2023_01530_c70,diffusion,0.70001220703125,0.7,9.904370010711647,0.027277887456614424,0.19197365641593933,0.7514119148254395,0.2742432951927185
s2_beijing_patch_2023_01878_c70,diffusion,0.70001220703125,0.7,9.797251430453834,0.016916968020138316,0.19347530603408813,0.7587625980377197,0.2763884663581848
s2_beijing_patch_2023_02087_c70,diffusion,0.70001220703125,0.7,9.883707897031789,0.010287412647847797,0.19375500082969666,0.7130425572395325,0.27678802609443665
