step,epoch,t,sample_loss,batch_loss
1735,1,-1,,0.084600
1740,1,-1,,0.101600
1745,1,-1,,0.082600
1750,1,-1,,0.074400
1755,1,-1,,0.418400
1760,1,-1,,0.067300
1765,1,-1,,0.056000
1770,1,-1,,0.064800
1775,1,-1,,0.394000
1780,1,-1,,0.455100
1785,1,-1,,0.067200
1790,1,-1,,0.071200
1795,1,-1,,0.072700
1800,1,-1,,0.211000
1805,1,-1,,0.070600
1810,1,-1,,0.104100
1815,1,-1,,0.074700
1820,1,-1,,0.079800
1825,1,-1,,0.073800
1830,1,-1,,0.073100
1835,1,-1,,0.066800
1840,1,-1,,0.068100
1845,1,-1,,0.423500
1850,1,-1,,0.125400
1855,1,-1,,0.054100
1860,1,-1,,0.063700
1865,1,-1,,0.065000
1870,1,-1,,0.060800
1875,1,-1,,0.085500
1880,1,-1,,0.080300
1885,1,-1,,0.110100
1890,1,-1,,0.158500
1895,1,-1,,0.161800
1900,1,-1,,0.073800
1905,1,-1,,0.135000
1910,1,-1,,0.138300
1915,1,-1,,0.070400
1920,1,-1,,0.150400
1925,1,-1,,0.085900
1930,1,-1,,0.060600
1935,1,-1,,0.086500
1940,1,-1,,0.174100
1945,1,-1,,0.176200
1950,1,-1,,0.062800
1955,1,-1,,0.089200
1960,1,-1,,0.054000
1965,1,-1,,0.056000
1970,1,-1,,0.054900
1975,1,-1,,0.084900
1980,1,-1,,0.078600
1985,1,-1,,0.058600
1990,1,-1,,0.065900
1995,1,-1,,0.094100
2000,1,-1,,0.066300
2005,1,-1,,0.060700
2010,1,-1,,0.064700
2015,1,-1,,0.054500
2020,1,-1,,0.096600
2025,1,-1,,0.065000
2030,1,-1,,0.068600
2035,1,-1,,0.059000
2040,1,-1,,0.056000
2045,1,-1,,0.161900
2050,1,-1,,0.117300
2055,1,-1,,0.110300
2060,1,-1,,0.066700
2065,1,-1,,0.191600
2070,1,-1,,0.073200
2075,1,-1,,0.060500
2080,1,-1,,0.065100
2085,1,-1,,0.055800
2090,1,-1,,0.065800
2095,1,-1,,0.071100
2100,1,-1,,0.057900
2105,1,-1,,0.059800
2110,1,-1,,0.058900
2115,1,-1,,0.060500
2120,1,-1,,0.198500
2125,1,-1,,0.055100
2130,1,-1,,0.078700
2135,1,-1,,0.066700
2140,1,-1,,0.059800
2145,1,-1,,0.054300
2150,1,-1,,0.051700
2155,1,-1,,0.065600
2160,1,-1,,0.117900
2165,1,-1,,0.180900
2170,1,-1,,0.067800
2175,1,-1,,0.090300
2180,1,-1,,0.233900
2185,1,-1,,0.074200
2190,1,-1,,0.166200
2195,1,-1,,0.068000
2200,1,-1,,0.056800
2205,1,-1,,0.069800
2210,1,-1,,0.054100
2215,1,-1,,0.603100
2220,1,-1,,0.057200
2225,1,-1,,0.053100
2230,1,-1,,0.061800
